Title,Genres,Difficulty,AI Reasoning
"Léon: The Professional","Action, Crime, Drama","Hard Mode","An international cult classic that is widely praised but less universally known than blockbuster hits."
"Django Unchained","Western, Drama, Action","Easy Mode","A major box-office success from Quentin Tarantino with high global brand awareness."
"The Usual Suspects","Crime, Drama, Mystery","Hard Mode","Known for its legendary twist, but its popularity is more concentrated among dedicated film fans than the broad public."
"The Lion King","Animation, Adventure, Drama, Family, Musical","Easy Mode","A globally recognized Disney blockbuster that is a household name across multiple generations."
"The Pianist","Biography, Drama, Music, War","Hard Mode","A critically acclaimed Oscar winner that is well-known to film fans but lacks the mass market ubiquity of blockbusters."
"American History X","Drama, Crime","Hard Mode","A prominent cult classic recognized for its performances but restricted by its mature themes and rating."
"Casablanca","Drama, Romance, War","Easy Mode","One of the most famous and frequently quoted films in Hollywood history."
"Cinema Paradiso","Drama, Romance","Impossible Mode","An Italian classic that, while beloved by international film fans, remains niche to general global audiences."
"The Intouchables","Biography, Comedy, Drama","Impossible Mode","A massive French hit that, despite its quality, has limited recognition among mainstream non-European audiences."
"Grave of the Fireflies","Animation, Drama, War","Impossible Mode","A tragic Studio Ghibli masterpiece that is often overlooked by general audiences due to its heavy subject matter and non-English origin."
"Rear Window","Mystery, Thriller","Easy Mode","An iconic Hitchcock thriller that is widely referenced in pop culture and film education."
"Once Upon a Time in the West","Western, Drama","Hard Mode","A masterpiece of the Western genre that is essential viewing for cinephiles but less familiar to casual modern viewers."
"Modern Times","Comedy, Drama, Romance","Easy Mode","A legendary Charlie Chaplin film that serves as a global symbol for the silent movie era."
"City Lights","Comedy, Drama, Romance","Easy Mode","A Charlie Chaplin masterpiece that is globally recognized as a cornerstone of silent cinema."
"Woman in the Dunes","Drama, Thriller","Hard Mode","A celebrated Japanese New Wave classic known to cinephiles but niche for general audiences."
"96","Romance, Drama","Impossible Mode","A popular Tamil romantic drama that, while a regional hit, remains obscure to a global audience."
"The Best of Youth","Drama, Romance, History","Impossible Mode","An acclaimed six-hour Italian epic that is primarily known only within dedicated world cinema circles."
"The World of Apu","Drama, Romance","Hard Mode","The conclusion to Satyajit Ray's Apu Trilogy, widely studied in film schools but niche globally."
"Le Trou","Crime, Drama, Thriller","Hard Mode","A highly regarded French prison break film that is a staple for film enthusiasts but not mainstream."
"Kumbalangi Nights","Drama, Romance","Impossible Mode","A critically acclaimed Malayalam film with strong regional popularity but very low global name recognition."
"Sarpatta Parambarai","Action, Drama, Sports","Impossible Mode","A period sports drama from Tamil cinema that reached a niche international audience via streaming platforms."
"Jersey","Drama, Sport","Impossible Mode","A successful Telugu sports drama known mostly within the Indian subcontinent and its diaspora."
"Thalapathi","Action, Crime, Drama","Impossible Mode","A cult classic in Indian cinema directed by Mani Ratnam, yet remains obscure in the broader global context."
"Selvi Boylum Al Yazmalim","Drama, Romance","Hard Mode","A quintessential classic of Turkish cinema, widely acclaimed in the Middle East and Central Asia but niche in the West."
"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Romance","Hard Mode","An iconic Soviet comedy film with immense popularity in post-Soviet states but limited global recognition."
"Gol Maal","Comedy, Romance","Hard Mode","A foundational cult comedy of Indian cinema with high regional recognition but niche status internationally."
"Çöpçüler Kralı","Comedy, Romance","Impossible Mode","A beloved Turkish comedy that remains largely obscure to audiences outside of its domestic market."
"Zübük","Comedy, Satire, Politics","Impossible Mode","A Turkish political satire that is highly localized and virtually unknown to a global audience."
"The Shining","Horror, Drama","Easy Mode","A world-renowned psychological horror masterpiece directed by Stanley Kubrick."
"Joker","Crime, Drama, Thriller","Easy Mode","A massive cultural phenomenon and box office hit with universal brand recognition."
"The Dark Knight Rises","Action, Drama, Thriller","Easy Mode","A major Hollywood blockbuster from the highly popular Batman film franchise."
"Aliens","Action, Sci-Fi, Horror","Easy Mode","A seminal science fiction action film that is globally recognized and highly influential."
"Avengers: Endgame","Action, Adventure, Sci-Fi","Easy Mode","One of the highest-grossing films of all time with near-universal global visibility."
"Oldboy","Action, Drama, Mystery, Thriller","Hard Mode","A highly acclaimed South Korean cult classic that is well-known in film circles but niche for general global audiences."
"Amadeus","Biography, Drama, Music","Hard Mode","A multi-Oscar-winning historical drama that is iconic but less recognized by younger, mainstream generations."
"Spider-Man: Into the Spider-Verse","Animation, Action, Adventure, Sci-Fi","Easy Mode","A massive commercial success and part of a globally dominant superhero franchise."
"Raiders of the Lost Ark","Action, Adventure","Easy Mode","One of the most famous action-adventure films in cinema history with universal recognition."
"Come and See","War, Drama","Impossible Mode","A Soviet war masterpiece that, while legendary among critics, remains obscure to the vast majority of global viewers."
"Memento","Mystery, Thriller, Neo-noir","Hard Mode","A famous early Christopher Nolan film that remains a cult favorite rather than a household blockbuster name."
"Apocalypse Now","Drama, War","Easy Mode","A foundational piece of American cinema widely referenced in pop culture globally."
"Coco","Animation, Adventure, Family, Music, Fantasy","Easy Mode","A major Disney/Pixar production with massive worldwide distribution and cultural visibility."
"Avengers: Infinity War","Action, Adventure, Sci-Fi","Easy Mode","One of the highest-grossing films of all time with near-total global awareness."
"WALL·E","Animation, Sci-Fi, Adventure, Family","Easy Mode","A beloved Pixar film with significant global commercial reach and recognition."
"3 Idiots","Comedy, Drama","Easy Mode","A major global success that achieved massive popularity throughout Asia and among international film enthusiasts."
"Your Name.","Animation, Drama, Fantasy, Romance","Easy Mode","One of the highest-grossing anime films worldwide, enjoying significant mainstream recognition across various demographics."
"The Lives of Others","Drama, Thriller","Hard Mode","An Academy Award-winning German film highly respected by cinephiles but less familiar to general global audiences."
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War","Easy Mode","A foundational cult classic and Stanley Kubrick masterpiece widely recognized and referenced in popular culture."
"Capernaum","Drama","Impossible Mode","A critically acclaimed Lebanese film that remains obscure to the general public outside of specialized film circles."
"Das Boot","War, Drama, Thriller","Hard Mode","A legendary German war epic known to enthusiasts of the genre but not a household name for the average viewer."
"Sunset Blvd.","Drama, Film-Noir","Easy Mode","An iconic pillar of Hollywood history that is widely known and studied as a masterpiece of the medium."
"Paths of Glory","War, Drama","Hard Mode","While an acclaimed Kubrick film, it lacks the universal name recognition of his later, more mainstream works."
"Witness for the Prosecution","Crime, Drama, Mystery, Film-Noir","Hard Mode","A classic legal drama that is well-known to fans of Golden Age cinema but often overlooked by modern audiences."
"High and Low","Crime, Drama, Mystery, Thriller","Impossible Mode","An Akira Kurosawa crime masterpiece that is highly influential yet remains relatively unknown to casual moviegoers compared to his samurai films."
"The Great Dictator","Comedy, Drama, War","Easy Mode","A world-famous political satire starring Charlie Chaplin, widely recognized as a cinematic masterpiece."
"Kaithi","Action, Thriller, Crime","Hard Mode","A highly successful Tamil-language action thriller that has gained a cult following globally but remains niche outside of Indian cinema circles."
"Sardar Udham","Biography, Crime, Drama, History","Hard Mode","A critically acclaimed biographical drama available on international streaming platforms, known primarily to fans of South Asian cinema."
"Dil Bechara","Romance, Drama","Hard Mode","Recognized largely due to its status as Sushant Singh Rajput's final film and its association with the novel 'The Fault in Our Stars'."
"Drishyam 2","Crime, Drama, Thriller","Hard Mode","The sequel to a highly popular Indian thriller franchise that has been remade in multiple languages but is niche on a global scale."
"Asuran","Action, Drama","Hard Mode","An award-winning Tamil film noted for its social commentary, popular in its home country but less known to the general global audience."
"Sansho the Bailiff","Drama, History","Impossible Mode","A 1954 Japanese masterpiece by Kenji Mizoguchi that is legendary among film scholars but remains obscure to the general public."
"Black Friday","Horror, Comedy","Impossible Mode","A controversial Indian docudrama about the 1993 Bombay bombings, known mostly to die-hard fans of parallel cinema."
"The Pinchcliffe Grand Prix","Animation, Comedy, Family, Adventure","Impossible Mode","A beloved Norwegian stop-motion animated film that is a cultural phenomenon in its home country but virtually unknown elsewhere."
"The Lizard","Comedy, Drama","Impossible Mode","An Iranian comedy-drama that attained cult status domestically for its satire on religion but has very limited international visibility."
"Vada Chennai","Action, Crime, Drama","Hard Mode","Highly acclaimed cult film within Indian cinema but remains niche for global audiences."
"When I Grow Up, I'll Be a Kangaroo","Comedy, Drama","Impossible Mode","A Serbian cult classic that is virtually unknown outside of the Balkan region."
"Mahanati","Biographical, Drama","Hard Mode","A successful and award-winning Indian biopic known primarily within the South Asian diaspora."
"Thani Oruvan","Action, Crime, Thriller","Hard Mode","A popular Indian action-thriller that reached high commercial success domestically but has limited global reach."
"Visaaranai","Crime, Drama, Thriller","Hard Mode","India's official entry for the Best Foreign Language Film at the 89th Academy Awards, giving it some niche international recognition."
"Attack on Titan: Chronicle","Animation, Action, Adventure, Fantasy, Horror","Easy Mode","Belongs to a globally recognized anime franchise with massive international popularity."
"Filantropica","Comedy, Drama","Impossible Mode","A famous Romanian black comedy that has very little visibility in the international mainstream."
"Muhsin Bey","Comedy, Drama, Music","Impossible Mode","A classic of Turkish cinema that is obscure to general audiences outside of Turkey."
"Gentlemen of Fortune","Comedy, Crime, Drama","Impossible Mode","A legendary Soviet comedy with massive status in CIS countries but almost no recognition in the West."
"Aruvi","Drama, Social Satire","Hard Mode","A critically acclaimed social drama within the Indian indie circuit that is relatively unknown globally."
"King of the Doormen","Comedy","Impossible Mode","An extremely obscure 2011 documentary with very little global distribution or recognition."
"Inglourious Basterds","Adventure, Drama, War","Easy Mode","A highly successful and widely recognized film directed by Quentin Tarantino."
"Top Gun: Maverick","Action, Drama","Easy Mode","A massive global blockbuster and one of the highest-grossing films of the 2020s."
"Fukrey 3","Comedy, Crime","Hard Mode","A popular Indian comedy film that is well-known within South Asia but remains niche globally."
"Heat","Action, Crime, Drama, Thriller","Easy Mode","A classic 1995 crime drama starring Robert De Niro and Al Pacino that is iconic in cinema history."
"Requiem for a Dream","Drama","Easy Mode","A widely known cult classic and psychological drama famous for its editing style and score."
"American Beauty","Drama, Romance","Easy Mode","A Best Picture Oscar winner that remains a staple of 1990s American cinema discourse."
"Good Will Hunting","Drama, Romance","Easy Mode","A critically acclaimed and widely beloved drama that launched the careers of Matt Damon and Ben Affleck."
"2001: A Space Odyssey","Sci-Fi, Adventure","Easy Mode","One of the most influential and famous science fiction films ever made."
"Scarface","Crime, Drama","Easy Mode","An iconic 1983 crime film that has a permanent place in global pop culture imagery."
"Eternal Sunshine of the Spotless Mind","Romance, Sci-Fi, Drama","Hard Mode","Highly acclaimed cult classic known by cinephiles but lacks the universal name recognition of mainstream blockbusters."
"Full Metal Jacket","War, Drama","Easy Mode","Widely recognized as one of the most iconic war movies in cinematic history."
"A Clockwork Orange","Crime, Drama, Sci-Fi","Easy Mode","A staple of pop culture and film studies with imagery that is globally recognized."
"Braveheart","Action, Biography, Drama, History, War","Easy Mode","An Academy Award-winning historical epic with massive international fame."
"The Hunt","Action, Horror, Thriller","Impossible Mode","A critically acclaimed Danish drama that is largely unknown to the general global movie-going public compared to Hollywood hits."
"Hamilton","Biography, Drama, History, Musical","Hard Mode","Extremely popular in theatrical circles and the US, but recognition varies significantly in non-English speaking markets."
"Once Upon a Time in America","Crime, Drama","Easy Mode","A beloved and highly successful Pixar film with universal global recognition."
"Reservoir Dogs","Crime, Thriller","Easy Mode","The film that launched Quentin Tarantino's career, widely recognized and referenced in pop culture."
"Toy Story","Animation, Adventure, Comedy, Family","Easy Mode","A foundational animated film known by multiple generations across the globe."
"Up","Animation, Adventure, Comedy, Family","Hard Mode","Classified by default (no specific match)"
"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy, Sci-Fi","Easy Mode","A massive global blockbuster and part of one of the most recognizable media franchises in history."
"Incendies","Drama, Mystery, War","Hard Mode","A critically acclaimed foreign language film by Denis Villeneuve that is well-known to cinephiles but niche globally."
"Amélie","Comedy, Romance","Easy Mode","One of the most famous and internationally successful French films ever released."
"Princess Mononoke","Animation, Adventure, Fantasy","Easy Mode","A landmark Studio Ghibli production that has achieved significant global recognition and acclaim."
"Vertigo","Mystery, Romance, Thriller","Easy Mode","An Alfred Hitchcock masterpiece that is frequently cited in lists of the greatest films ever made."
"Judgment at Nuremberg","Drama, History, War","Hard Mode","A classic legal drama that is highly regarded but lacks the widespread pop-culture recognition of modern hits."
"Toy Story 3","Animation, Adventure, Comedy, Family","Easy Mode","A major Pixar commercial success that is widely known across all age groups globally."
"Citizen Kane","Drama, Mystery","Easy Mode","Widely considered the most famous classic film in the history of cinema."
"Vikram","Action, Thriller, Crime","Impossible Mode","A major Indian blockbuster that, despite its domestic success, is relatively obscure to a general global audience."
"Lawrence of Arabia","Adventure, Biography, Drama, History, War","Easy Mode","An iconic historical epic and a staple of cinematic history known worldwide."
"To Kill a Mockingbird","Drama, Crime","Easy Mode","A widely recognized American classic and literary adaptation taught in schools worldwide."
"The Apartment","Comedy, Drama, Romance","Easy Mode","A highly celebrated Best Picture winner that remains a staple of classic Hollywood cinema."
"Metropolis","Sci-Fi, Drama","Hard Mode","A landmark of science fiction, but its status as a 1927 silent film makes it niche for casual viewers."
"Singin' in the Rain","Comedy, Musical, Romance","Easy Mode","Regarded as the greatest movie musical and an iconic piece of pop culture history."
"The Sting","Comedy, Crime, Drama","Easy Mode","A major box office success and Oscar winner featuring two of Hollywood's biggest stars."
"Dangal","Action, Biography, Drama, Sport","Hard Mode","The highest-grossing Indian film globally, though still relatively niche in Western mainstream media."
"North by Northwest","Adventure, Mystery, Thriller","Easy Mode","One of Alfred Hitchcock's most famous and accessible thrillers."
"A Separation","Drama, Mystery","Impossible Mode","An Iranian masterpiece that is obscure to general audiences outside of world cinema enthusiasts."
"Double Indemnity","Crime, Drama, Film-Noir","Hard Mode","The quintessential film noir, recognized by cinephiles but less known by the general public today."
"Ikiru","Drama","Impossible Mode","An influential Kurosawa drama that is significantly less famous globally than his samurai epics."
"Like Stars on Earth","Drama, Family","Easy Mode","A critically acclaimed Indian film with massive global viewership and high ratings on international platforms."
"Bicycle Thieves","Drama","Easy Mode","Considered one of the greatest films ever made, this Italian Neorealist classic is a staple of world cinema education."
"K.G.F: Chapter 2","Action, Drama, Crime","Hard Mode","A massive commercial success in South Asian markets, but its recognition is largely tied to the Indian film industry and its diaspora."
"Chhichhore","Comedy, Drama, Sport","Hard Mode","A popular contemporary Bollywood film that reached a wide audience in India but has limited visibility in the global mainstream."
"Kantara","Action, Adventure, Drama, Fantasy, Thriller","Hard Mode","A recent regional Indian hit that gained significant word-of-mouth traction, though it remains niche for general international audiences."
"The Young and the Damned","Crime, Drama","Impossible Mode","A 1950 Mexican film by Luis Buñuel that is a masterpiece of world cinema but largely obscure to anyone outside of dedicated cinephile circles."
"To Live","Drama, History, War","Impossible Mode","A highly regarded Chinese historical drama that is primarily known to fans of Asian cinema and film historians rather than the general public."
"Shershaah","Action, Biography, Drama, War","Hard Mode","A successful direct-to-streaming Indian war film that is well-known locally but hasn't achieved global household status."
"Satya","Crime, Action, Drama","Impossible Mode","A cult classic Indian gangster film from the late 90s that, while influential, is rarely recognized outside of its home country."
"Maanaadu","Action, Sci-Fi, Thriller","Impossible Mode","A successful Tamil-language science fiction thriller that remains a regional success with very little recognition on a global scale."
"The Cranes Are Flying","Drama, Romance, War","Easy Mode","A Palme d'Or winner and a staple of Soviet cinema that is widely studied in film history."
"Red Beard","Drama","Easy Mode","Directed by Akira Kurosawa, whose name provides significant global recognition among film fans."
"Ayla: The Daughter of War","Drama, History, War","Hard Mode","A popular Turkish drama with a large international following on streaming, though less known to general western audiences."
"Children of Paradise","Drama, Romance","Easy Mode","Widely considered one of the greatest French films ever made and a standard entry in world cinema canons."
"Raatchasan","Action, Crime, Mystery, Thriller","Hard Mode","A highly-rated Indian thriller that has gained a cult global audience via digital platforms."
"Jana Gana Mana","Crime, Drama, Thriller","Impossible Mode","A recent regional Malayalam-language thriller with very high domestic success but minimal global visibility."
"Super Deluxe","Crime, Drama, Thriller","Hard Mode","An acclaimed hyperlink film that is a favorite in international film festival circuits and niche cinephile groups."
"Ordet","Drama, Fantasy","Hard Mode","A masterpiece of religious cinema by Carl Theodor Dreyer that remains highly niche outside of art-house circles."
"Jaane Bhi Do Yaaro","Comedy, Satire, Drama","Impossible Mode","A cult classic Indian satire that is legendary domestically but remains virtually unknown to a global audience."
"Samurai Rebellion","Drama, Action, History","Impossible Mode","Though a critical masterpiece of the genre, it is significantly less known globally than the works of Kurosawa or Harakiri."
"Chupke Chupke","Comedy, Romance, Drama","Hard Mode","Classic Hindi comedy highly regarded in South Asia but less known to general international audiences."
"Bangalore Days","Comedy, Drama, Romance","Hard Mode","A modern Malayalam cult classic popular in India but niche in the global film market."
"The Diamond Arm","Comedy, Crime","Impossible Mode","A Soviet-era comedy classic with immense popularity in Eastern Europe but very little recognition elsewhere."
"Agent Sai Srinivasa Athreya","Mystery, Comedy, Crime, Thriller","Hard Mode","A successful Telugu indie detective film known to regional cinema fans but obscure to the global public."
"Drishyam","Crime, Drama, Thriller","Easy Mode","A highly influential thriller with numerous remakes and significant international streaming visibility."
"Kidnapping, Caucasian Style","Comedy, Romance, Adventure","Impossible Mode","A quintessential Soviet comedy film that is virtually unknown to audiences outside the former USSR."
"Khosla Ka Ghosla!","Comedy, Drama, Crime","Hard Mode","A beloved Indian social comedy that remains a niche pick for international viewers."
"Baasha","Action, Crime, Drama","Hard Mode","A massive Tamil blockbuster starring Rajinikanth, widely known in India but categorized as niche globally."
"Anniyan","Action, Psychological Thriller, Drama","Hard Mode","A major Tamil thriller known for its high production values and cult following in Indian cinema."
"Cat City","Animation, Adventure, Comedy, Crime, Sci-Fi","Impossible Mode","A Hungarian animated cult classic that remains an obscure title for most global viewers."
"Premam","Romance, Comedy, Drama","Hard Mode","A massive hit in South India and the diaspora, but lacks widespread global recognition outside the Indian film community."
"Kaun Pravin Tambe?","Biography, Drama, Sport","Impossible Mode","A niche sports biopic released primarily on streaming platforms with limited international visibility."
"Lucia","Psychological Thriller, Drama, Sci-Fi","Hard Mode","A landmark Kannada film known among cinephiles and cult film enthusiasts, but largely unknown to the general global public."
"Soodhu Kavvum","Black Comedy, Crime, Thriller","Hard Mode","A highly regarded Tamil cult comedy with a significant regional following but limited global reach."
"Sairat","Romance, Drama","Hard Mode","The highest-grossing Marathi film of all time, acclaimed at film festivals, yet still regional in its primary recognition."
"From the Village to the City","Comedy","Impossible Mode","A 1974 Turkish comedy (Köyden İndim Şehre) that is iconic in Turkey but virtually unknown internationally."
"The Wolf of Wall Street","Biography, Comedy, Crime, Drama","Easy Mode","A globally recognized blockbuster directed by Martin Scorsese and starring Leonardo DiCaprio."
